ID,Address,Business Type,Company Name,Local Authorities,Products Sold,Status
11816,"Dryden Terrace, Loanhead EH20 9JL",Public House,Cherwell Tobacco,Midlothian,Tobacco Only,Active
11817,"16 dryden terrace,  EH20 9JL",Public House,pentland road house,Midlothian,Tobacco Only,Active
11818,"Fonevibes Ltd, 54-56 Quarry Street ML3 7AU",Mobile Trade,Phone+doctor ltd,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
11819,"Pier Restaurant, Pier Cottage, Rousay KW17 2PU",Public House,The Pier Bar and Restaurant Ltd,Orkney Islands,Tobacco Only,Active
11820,"92 leith walk, leith EH6 5HB",Specialist Tobacconists,the pipe shop ltd,Edinburgh City,Tobacco Only,Active
11821,"507 Main Street, Stenhousemuir FK5 4EY",Hotel,Cherwell Tobacco,Falkirk,Tobacco Only,Inactive
11822,"10, North Street TD11 3AP",Public House,The Plough Inn,Scottish Borders,Tobacco Only,Active
11823,"Bruce Place,  PH33 6HH",Convenience Store,The Polish Shop,Highland,Tobacco Only,Inactive
11824,"58 Brockburn Road, Pollock G53 5LB",Public House,The Pollock Inn,Glasgow City,Tobacco Only,Active
11825,"The Signet Library, Parliament Square EH1 1RF",Other Catering,Heritage Portfolio LTD,Edinburgh City,Tobacco Only,Active
11826,"2-4 Bath Road,,  EH6 7JT",Public House,The Pond Ltd,Edinburgh City,Tobacco Only,Active
11827,"44 Marine Road,  PA20 0LW",Public House,The Port Inn Limited,Argyll and Bute,Tobacco Only,Active
11828,"4 Conon Terrace,  DD11 5AP",Public House,The Portcullis Bar,Angus,Tobacco Only,Active
11829,"47 Samson Avenue, Portessie AB56 1TR",Convenience Store,The Portessie Shop Ltd,Moray,Tobacco Only,Inactive
11830,"100 Main Street,  ML6 9SH",Public House,Limacaza Ltd,North Lanarkshire,Tobacco Only,Active
11831,"36, Waterside Street ML10 6AW",Other Catering,The Powmillon Burn Takeaway,South Lanarkshire,Tobacco Only,Active
11832,"9 castle , new cumnock KA18 3AE",Convenience Store,keystore merlin park ,East Ayrshire,Tobacco And Nicotine Vapour Products,Active
11833,"33 Belmont Street, Aberdeen AB10 1JS",Public House,Imperial Tobacco Limited,Aberdeen City,Tobacco Only,Active
11834,"Fairmont Hotel, Kingask KY16 8PN",Hotel,St Andrews Bay Developement,Fife,Tobacco Only,Active
11835,"57 The Foregate,  KA1 1LU",Other Retail,The Psychic Shop,East Ayrshire,Tobacco Only,Active
11836,"59-61 Main Street,  KY3 0UH",Convenience Store,The Purple Shop,Fife,Tobacco And Nicotine Vapour Products,Active
11837,"137 Quarry St,  ML3 7DR",Off-Licence,The Office Pub (Hamilton) Ltd,South Lanarkshire,Tobacco Only,Inactive
11838,"137 QUARRY STREET,  ML3 7DR",Off-Licence,Blazers Reunion LTD,South Lanarkshire,Tobacco Only,Inactive
11839,"137 Quarry Street,  ML3 7DR",Public House,Aspen Management (Hamilton) Ltd,South Lanarkshire,Tobacco Only,Inactive
11840,"49 Frederick Street,  EH2 1EP",Public House,Signature Pubs,Edinburgh City,Tobacco Only,Active
11841,"29-31 Mill Street, Drummore DG9 9PS",Hotel,The Queens Hotel,Dumfries and Galloway,Tobacco Only,Active
11842,"12 Church Street,  KY11 1LJ",Hotel,The Queens Hotel,Fife,Tobacco Only,Active
11843,"Corran Esplanade,  PA34 5AG",Hotel,The Hyams Partnership T/A The Queens Hotel,Argyll and Bute,Tobacco Only,Inactive
